,Open_time,Open,High,Low,Close,Volume,Close_time
0,2021-12-16 02:04:00,1.736,1.737,1.735,1.736,509.04,2021-12-16 02:04:59.999
1,2021-12-16 02:05:00,1.737,1.739,1.737,1.738,626.94,2021-12-16 02:05:59.999
2,2021-12-16 02:06:00,1.734,1.734,1.729,1.731,5900.71,2021-12-16 02:06:59.999
3,2021-12-16 02:07:00,1.73,1.73,1.726,1.729,2139.83,2021-12-16 02:07:59.999
4,2021-12-16 02:08:00,1.728,1.728,1.715,1.72,8372.82,2021-12-16 02:08:59.999
5,2021-12-16 02:09:00,1.721,1.722,1.715,1.718,3029.36,2021-12-16 02:09:59.999
6,2021-12-16 02:10:00,1.718,1.719,1.718,1.718,1965.9,2021-12-16 02:10:59.999
7,2021-12-16 02:11:00,1.718,1.719,1.714,1.719,6028.71,2021-12-16 02:11:59.999
8,2021-12-16 02:12:00,1.721,1.724,1.72,1.722,2864.58,2021-12-16 02:12:59.999
9,2021-12-16 02:13:00,1.722,1.723,1.721,1.721,1249.0,2021-12-16 02:13:59.999
10,2021-12-16 02:14:00,1.721,1.721,1.718,1.718,217.4,2021-12-16 02:14:59.999
11,2021-12-16 02:15:00,1.718,1.72,1.711,1.716,3812.35,2021-12-16 02:15:59.999
12,2021-12-16 02:16:00,1.717,1.718,1.713,1.718,1941.88,2021-12-16 02:16:59.999
13,2021-12-16 02:17:00,1.715,1.719,1.714,1.718,3197.18,2021-12-16 02:17:59.999
14,2021-12-16 02:18:00,1.718,1.718,1.709,1.712,11869.01,2021-12-16 02:18:59.999
15,2021-12-16 02:19:00,1.715,1.717,1.708,1.716,8355.62,2021-12-16 02:19:59.999
16,2021-12-16 02:20:00,1.715,1.719,1.712,1.716,4607.96,2021-12-16 02:20:59.999
17,2021-12-16 02:21:00,1.718,1.718,1.715,1.715,8324.81,2021-12-16 02:21:59.999
18,2021-12-16 02:22:00,1.716,1.716,1.715,1.715,90.88,2021-12-16 02:22:59.999
19,2021-12-16 02:23:00,1.716,1.716,1.71,1.712,7912.22,2021-12-16 02:23:59.999
20,2021-12-16 02:24:00,1.714,1.715,1.712,1.715,1366.86,2021-12-16 02:24:59.999
21,2021-12-16 02:25:00,1.715,1.716,1.715,1.716,2033.64,2021-12-16 02:25:59.999
22,2021-12-16 02:26:00,1.716,1.716,1.711,1.713,3053.24,2021-12-16 02:26:59.999
23,2021-12-16 02:27:00,1.711,1.712,1.71,1.712,1067.0,2021-12-16 02:27:59.999
24,2021-12-16 02:28:00,1.712,1.712,1.711,1.712,771.06,2021-12-16 02:28:59.999
25,2021-12-16 02:29:00,1.712,1.712,1.706,1.706,16444.63,2021-12-16 02:29:59.999
26,2021-12-16 02:30:00,1.705,1.706,1.705,1.706,5568.58,2021-12-16 02:30:59.999
27,2021-12-16 02:31:00,1.705,1.709,1.705,1.709,555.82,2021-12-16 02:31:59.999
28,2021-12-16 02:32:00,1.709,1.709,1.707,1.709,1798.77,2021-12-16 02:32:59.999
29,2021-12-16 02:33:00,1.709,1.709,1.704,1.705,6253.8,2021-12-16 02:33:59.999
30,2021-12-16 02:34:00,1.706,1.706,1.701,1.703,11161.86,2021-12-16 02:34:59.999
31,2021-12-16 02:35:00,1.703,1.705,1.703,1.703,896.65,2021-12-16 02:35:59.999
32,2021-12-16 02:36:00,1.703,1.705,1.702,1.705,2197.31,2021-12-16 02:36:59.999
33,2021-12-16 02:37:00,1.706,1.72,1.705,1.72,7318.76,2021-12-16 02:37:59.999
34,2021-12-16 02:38:00,1.718,1.724,1.716,1.723,2219.83,2021-12-16 02:38:59.999
35,2021-12-16 02:39:00,1.722,1.722,1.707,1.715,3528.0,2021-12-16 02:39:59.999
36,2021-12-16 02:40:00,1.715,1.724,1.715,1.717,6601.3,2021-12-16 02:40:59.999
37,2021-12-16 02:41:00,1.72,1.721,1.718,1.719,460.56,2021-12-16 02:41:59.999
38,2021-12-16 02:42:00,1.719,1.72,1.719,1.72,809.96,2021-12-16 02:42:59.999
39,2021-12-16 02:43:00,1.72,1.72,1.719,1.719,741.79,2021-12-16 02:43:59.999
40,2021-12-16 02:44:00,1.718,1.718,1.713,1.713,4645.83,2021-12-16 02:44:59.999
41,2021-12-16 02:45:00,1.714,1.714,1.712,1.712,837.39,2021-12-16 02:45:59.999
42,2021-12-16 02:46:00,1.715,1.717,1.712,1.716,1794.99,2021-12-16 02:46:59.999
43,2021-12-16 02:47:00,1.716,1.72,1.716,1.72,1180.8,2021-12-16 02:47:59.999
44,2021-12-16 02:48:00,1.72,1.722,1.72,1.722,309.6,2021-12-16 02:48:59.999
45,2021-12-16 02:49:00,1.721,1.725,1.719,1.719,7467.69,2021-12-16 02:49:59.999
46,2021-12-16 02:50:00,1.72,1.722,1.718,1.722,632.85,2021-12-16 02:50:59.999
