,Unnamed: 0,Open_time,Open,High,Low,Close,Volume,Close_time,MA5,MA20,MA50,MA100,Up,Close_to_zero
0,0,2021-12-16 02:04:00,1.736,1.737,1.735,1.736,509.04,2021-12-16 02:04:59.999,,,,,0,0
1,1,2021-12-16 02:05:00,1.737,1.739,1.737,1.738,626.94,2021-12-16 02:05:59.999,,,,,0,0
2,2,2021-12-16 02:06:00,1.734,1.734,1.729,1.731,5900.71,2021-12-16 02:06:59.999,,,,,0,0
3,3,2021-12-16 02:07:00,1.73,1.73,1.726,1.729,2139.83,2021-12-16 02:07:59.999,,,,,0,0
4,4,2021-12-16 02:08:00,1.728,1.728,1.715,1.72,8372.82,2021-12-16 02:08:59.999,1.7308,,,,0,0
5,5,2021-12-16 02:09:00,1.721,1.722,1.715,1.718,3029.36,2021-12-16 02:09:59.999,1.7272000000000003,,,,0,0
6,6,2021-12-16 02:10:00,1.718,1.719,1.718,1.718,1965.9,2021-12-16 02:10:59.999,1.7231999999999998,,,,0,0
7,7,2021-12-16 02:11:00,1.718,1.719,1.714,1.719,6028.71,2021-12-16 02:11:59.999,1.7207999999999999,,,,0,0
8,8,2021-12-16 02:12:00,1.721,1.724,1.72,1.722,2864.58,2021-12-16 02:12:59.999,1.7193999999999998,,,,0,0
9,9,2021-12-16 02:13:00,1.722,1.723,1.721,1.721,1249.0,2021-12-16 02:13:59.999,1.7196000000000002,,,,0,0
10,10,2021-12-16 02:14:00,1.721,1.721,1.718,1.718,217.4,2021-12-16 02:14:59.999,1.7196000000000002,,,,0,0
11,11,2021-12-16 02:15:00,1.718,1.72,1.711,1.716,3812.35,2021-12-16 02:15:59.999,1.7192,,,,0,0
12,12,2021-12-16 02:16:00,1.717,1.718,1.713,1.718,1941.88,2021-12-16 02:16:59.999,1.719,,,,0,0
13,13,2021-12-16 02:17:00,1.715,1.719,1.714,1.718,3197.18,2021-12-16 02:17:59.999,1.7182000000000002,,,,0,0
14,14,2021-12-16 02:18:00,1.718,1.718,1.709,1.712,11869.01,2021-12-16 02:18:59.999,1.7164000000000001,,,,0,0
15,15,2021-12-16 02:19:00,1.715,1.717,1.708,1.716,8355.62,2021-12-16 02:19:59.999,1.716,,,,0,0
16,16,2021-12-16 02:20:00,1.715,1.719,1.712,1.716,4607.96,2021-12-16 02:20:59.999,1.716,,,,0,0
17,17,2021-12-16 02:21:00,1.718,1.718,1.715,1.715,8324.81,2021-12-16 02:21:59.999,1.7154,,,,0,0
18,18,2021-12-16 02:22:00,1.716,1.716,1.715,1.715,90.88,2021-12-16 02:22:59.999,1.7147999999999999,,,,0,0
19,19,2021-12-16 02:23:00,1.716,1.716,1.71,1.712,7912.22,2021-12-16 02:23:59.999,1.7147999999999999,1.7204000000000002,,,0,0
20,20,2021-12-16 02:24:00,1.714,1.715,1.712,1.715,1366.86,2021-12-16 02:24:59.999,1.7146000000000001,1.71935,,,0,0
21,21,2021-12-16 02:25:00,1.715,1.716,1.715,1.716,2033.64,2021-12-16 02:25:59.999,1.7146000000000001,1.71825,,,0,0
22,22,2021-12-16 02:26:00,1.716,1.716,1.711,1.713,3053.24,2021-12-16 02:26:59.999,1.7142,1.7173500000000002,,,0,0
23,23,2021-12-16 02:27:00,1.711,1.712,1.71,1.712,1067.0,2021-12-16 02:27:59.999,1.7136000000000002,1.7165000000000004,,,0,0
24,24,2021-12-16 02:28:00,1.712,1.712,1.711,1.712,771.06,2021-12-16 02:28:59.999,1.7136,1.7160999999999997,,,0,0
25,25,2021-12-16 02:29:00,1.712,1.712,1.706,1.706,16444.63,2021-12-16 02:29:59.999,1.7117999999999998,1.7155,,,0,0
26,26,2021-12-16 02:30:00,1.705,1.706,1.705,1.706,5568.58,2021-12-16 02:30:59.999,1.7098,1.7148999999999996,,,0,0
27,27,2021-12-16 02:31:00,1.705,1.709,1.705,1.709,555.82,2021-12-16 02:31:59.999,1.709,1.7144000000000001,,,0,0
28,28,2021-12-16 02:32:00,1.709,1.709,1.707,1.709,1798.77,2021-12-16 02:32:59.999,1.7084,1.7137499999999999,,,0,0
29,29,2021-12-16 02:33:00,1.709,1.709,1.704,1.705,6253.8,2021-12-16 02:33:59.999,1.707,1.71295,,,0,0
30,30,2021-12-16 02:34:00,1.706,1.706,1.701,1.703,11161.86,2021-12-16 02:34:59.999,1.7064,1.7122,,,0,0
31,31,2021-12-16 02:35:00,1.703,1.705,1.703,1.703,896.65,2021-12-16 02:35:59.999,1.7058,1.7115500000000001,,,0,0
32,32,2021-12-16 02:36:00,1.703,1.705,1.702,1.705,2197.31,2021-12-16 02:36:59.999,1.705,1.7108999999999999,,,0,0
33,33,2021-12-16 02:37:00,1.706,1.72,1.705,1.72,7318.76,2021-12-16 02:37:59.999,1.7072000000000003,1.7109999999999999,,,0,0
